material_class,site_id,suitability_score,cost_class,expert_review_needed,evidence_status
light-gauge steel framing with mineral wool,germany,0.7,medium,True,design assumption
double-stud acoustic partitions,germany,0.7,medium,True,design assumption
acoustic gypsum assemblies,germany,0.7,medium,True,design assumption
fiber cement / cement board,germany,0.7,medium,True,design assumption
mineral wool insulation,germany,0.7,medium,True,design assumption
acoustic sealant and gasketed doors,germany,0.7,medium,True,design assumption
low-VOC acoustic wall panels,germany,0.7,medium,True,design assumption
moisture-resistant flooring,germany,0.7,medium,True,design assumption
structured cabling pathways,germany,0.7,medium,True,design assumption
modular utility pods,germany,0.7,medium,True,design assumption
