material_class,site_id,suitability_score,cost_class,expert_review_needed,evidence_status
light-gauge steel framing with mineral wool,guyana,0.7,medium,True,design assumption
double-stud acoustic partitions,guyana,0.7,medium,True,design assumption
acoustic gypsum assemblies,guyana,0.7,medium,True,design assumption
fiber cement / cement board,guyana,0.7,medium,True,design assumption
mineral wool insulation,guyana,0.7,medium,True,design assumption
acoustic sealant and gasketed doors,guyana,0.7,medium,True,design assumption
low-VOC acoustic wall panels,guyana,0.7,medium,True,design assumption
moisture-resistant flooring,guyana,0.8,medium,True,design assumption
structured cabling pathways,guyana,0.7,medium,True,design assumption
modular utility pods,guyana,0.7,medium,True,design assumption
