material_class,site_id,suitability_score,cost_class,expert_review_needed,evidence_status
light-gauge steel framing with mineral wool,graham_land,0.5,medium,True,design assumption
double-stud acoustic partitions,graham_land,0.5,medium,True,design assumption
acoustic gypsum assemblies,graham_land,0.5,medium,True,design assumption
fiber cement / cement board,graham_land,0.5,medium,True,design assumption
mineral wool insulation,graham_land,0.5,medium,True,design assumption
acoustic sealant and gasketed doors,graham_land,0.5,medium,True,design assumption
low-VOC acoustic wall panels,graham_land,0.5,medium,True,design assumption
moisture-resistant flooring,graham_land,0.5,medium,True,design assumption
structured cabling pathways,graham_land,0.5,medium,True,design assumption
modular utility pods,graham_land,0.5,medium,True,design assumption
