material_class,site_id,suitability_score,cost_class,expert_review_needed,evidence_status
light-gauge steel framing with mineral wool,geelong,0.7,medium,True,design assumption
double-stud acoustic partitions,geelong,0.7,medium,True,design assumption
acoustic gypsum assemblies,geelong,0.7,medium,True,design assumption
fiber cement / cement board,geelong,0.7,medium,True,design assumption
mineral wool insulation,geelong,0.7,medium,True,design assumption
acoustic sealant and gasketed doors,geelong,0.7,medium,True,design assumption
low-VOC acoustic wall panels,geelong,0.7,medium,True,design assumption
moisture-resistant flooring,geelong,0.8,medium,True,design assumption
structured cabling pathways,geelong,0.7,medium,True,design assumption
modular utility pods,geelong,0.7,medium,True,design assumption
