material_class,site_id,suitability_score,cost_class,expert_review_needed,evidence_status
light-gauge steel framing with mineral wool,gary,0.7,medium,True,design assumption
double-stud acoustic partitions,gary,0.7,medium,True,design assumption
acoustic gypsum assemblies,gary,0.7,medium,True,design assumption
fiber cement / cement board,gary,0.7,medium,True,design assumption
mineral wool insulation,gary,0.7,medium,True,design assumption
acoustic sealant and gasketed doors,gary,0.7,medium,True,design assumption
low-VOC acoustic wall panels,gary,0.7,medium,True,design assumption
moisture-resistant flooring,gary,0.7,medium,True,design assumption
structured cabling pathways,gary,0.7,medium,True,design assumption
modular utility pods,gary,0.7,medium,True,design assumption
